City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Balsas,BR,79.93,clear sky,-7.5325,-46.0356,Novo Hotel
392,Qeshm,IR,84.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
393,Libreville,GA,75.22,light rain,0.3925,9.4537,Hotel Re-Ndama
395,Brokopondo,SR,77.49,overcast clouds,4.75,-55.1667,Matu Island
396,Bonthe,SL,76.77,moderate rain,7.5264,-12.505,Bonthe Holiday Village
410,Ban Bung,TH,81.68,overcast clouds,18.3081,100.7044,เฮือนวาดเขียน
415,Hambantota,LK,82.85,broken clouds,6.1241,81.1185,Bungalow 63
418,Quartucciu,IT,77.04,clear sky,39.2519,9.1794,HINTERLAND HOTEL
424,Banda Aceh,ID,85.55,light rain,5.5577,95.3222,Sulthan Hotel International
433,Port-Gentil,GA,77.02,overcast clouds,-0.7193,8.7815,Fengshui Residence
434,Cukai,MY,89.55,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
438,Kilindoni,TZ,76.44,clear sky,-7.9139,39.6668,Bustani B&B
441,Guanica,PR,82.26,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
442,Pilar,BR,76.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
445,Eyl,SO,76.01,scattered clouds,7.9803,49.8164,Amiin Hotel
446,Kalabagh,PK,85.19,clear sky,32.965,71.557,Paracha nimko shop
447,Don Sak,TH,84.15,light rain,9.3168,99.6918,Sea Sun Moon Hostel
454,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
455,Axim,GH,76.44,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
456,Timizart,DZ,78.87,scattered clouds,36.8,4.2667,yefssah restaurant
459,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
461,Alyangula,AU,82.08,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
468,Harlingen,US,79.9,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
471,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
474,Nishihara,JP,89.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
475,Port Macquarie,AU,80.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
476,Brodowski,BR,75.2,scattered clouds,-20.9845,-47.6572,HOTEL SITIO DO PICA-PAU AMARELO
478,Tepalcatepec,MX,76.5,overcast clouds,19.1833,-102.85,Maria De Jesus
484,Ibra,OM,81.73,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
488,Sorong,ID,85.14,overcast clouds,-0.8833,131.25,waigo splash hotel
489,Salatiga,ID,86.45,scattered clouds,-7.3319,110.4928,Hotel Le Beringin
490,Arlit,NE,85.78,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
492,Ko Samui,TH,78.71,light rain,9.5357,99.9357,The Passage
494,Kualakapuas,ID,86.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
504,Sao Felix Do Xingu,BR,76.62,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
509,Mogadishu,SO,77.5,broken clouds,2.0371,45.3438,Hotel Juba
513,Nanzhang,CN,79.57,overcast clouds,31.7765,111.8386,Longmenkezhan
514,Bikaner,IN,85.89,overcast clouds,28.0167,73.3,Karina Guest House
517,Gondanglegi,ID,89.06,scattered clouds,-7.7479,112.0132,Ndoll Gondanglegi
522,Jiwani,PK,80.83,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
524,Santa Marta,CO,83.98,overcast clouds,11.2408,-74.199,Casa de Isabella
525,Xiaoweizhai,CN,78.6,broken clouds,26.1903,107.5125,Karst Youth Hostel
528,Jacksonville,US,76.98,haze,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
