City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Homer,59.6425,-151.5483,42.69,75,90,4.61,US,overcast clouds
80,Mar Del Plata,-38.0023,-57.5575,55.13,61,1,1.99,AR,clear sky
81,Grand Gaube,-20.0064,57.6608,73.38,73,32,10.0,MU,scattered clouds
82,Jinchang,38.4953,102.1739,71.46,37,99,18.97,CN,overcast clouds
83,Carnarvon,-24.8667,113.6333,73.47,60,40,14.97,AU,scattered clouds
84,Airai,-8.9266,125.4092,79.07,36,28,2.86,TL,scattered clouds
85,Victoria,22.2855,114.1577,90.97,69,42,1.99,HK,scattered clouds
86,Gizo,-8.103,156.8419,84.15,72,62,3.76,SB,light rain
87,Ostrovnoy,68.0531,39.5131,47.08,92,100,18.52,RU,overcast clouds
88,Vaini,-21.2,-175.2,75.36,73,20,12.66,TO,few clouds
89,Bethel,41.3712,-73.414,61.92,91,1,3.44,US,clear sky
90,Lompoc,34.6391,-120.4579,67.1,95,20,5.75,US,mist
91,Seoul,37.5683,126.9778,72.84,56,100,4.5,KR,overcast clouds
92,San Juan,-31.5375,-68.5364,75.72,26,0,12.8,AR,clear sky
93,Tromso,69.6496,18.957,42.82,81,75,3.44,NO,broken clouds
94,Faanui,-16.4833,-151.75,77.23,62,0,2.06,PF,clear sky
95,Camden,39.7835,-74.9663,62.19,92,0,2.37,US,clear sky
96,Maarianhamina,60.0973,19.9348,49.86,93,90,4.61,AX,overcast clouds
97,Abu Zabad,12.35,29.25,71.15,86,100,8.88,SD,light rain
98,Salalah,17.0151,54.0924,82.49,78,75,2.3,OM,broken clouds
99,Antsirabe,-19.85,47.0333,49.68,94,2,4.56,MG,clear sky
100,Ponta Delgada,37.7333,-25.6667,69.49,88,40,3.44,PT,scattered clouds
101,Hithadhoo,-0.6,73.0833,82.71,72,99,12.8,MV,overcast clouds
102,Nikolskoye,59.7035,30.7861,46.87,93,100,7.56,RU,light rain
103,Polson,47.6936,-114.1632,57.79,62,17,3.38,US,few clouds
104,Port Alfred,-33.5906,26.891,58.68,82,62,7.63,ZA,broken clouds
105,Dunedin,-45.8742,170.5036,60.58,53,16,16.22,NZ,few clouds
106,Avarua,-21.2078,-159.775,77.05,57,98,8.05,CK,overcast clouds
107,Toyota,35.0833,137.15,87.62,50,23,7.45,JP,few clouds
108,College,64.8569,-147.8028,34.59,91,90,3.44,US,light snow
109,East London,-33.0153,27.9116,52.74,82,0,0.0,ZA,clear sky
110,Pasighat,28.0667,95.3333,87.28,62,17,1.99,IN,few clouds
111,Georgetown,5.4112,100.3354,87.75,76,20,2.3,MY,few clouds
112,Port Hedland,-20.3167,118.5667,84.25,58,43,10.36,AU,scattered clouds
113,Saint Andrews,34.0454,-81.1293,60.39,79,1,1.99,US,clear sky
114,Leningradskiy,69.3833,178.4167,26.65,79,98,5.79,RU,overcast clouds
115,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,58,75,11.18,RU,broken clouds
